tweet_id,favorites,retweet_count
892420643555336193,36075,7679
892177421306343426,31113,5679
891815181378084864,23426,3764
891689557279858688,39339,7842
891327558926688256,37570,8449
891087950875897856,18933,2832
890971913173991426,11008,1844
890729181411237888,60751,17135
890609185150312448,26052,3902
890240255349198849,29770,6660
890006608113172480,28671,6653
889880896479866881,26075,4533
889665388333682689,44890,9086
889638837579907072,25256,4070
889531135344209921,14155,2049
889278841981685760,23543,4848
888917238123831296,27173,4084
888804989199671297,23878,3852
888554962724278272,18434,3165
888078434458587136,20343,3151
887705289381826560,28260,4897
887517139158093824,43323,10706
887473957103951883,64193,16345
887343217045368832,31444,9524
887101392804085760,28611,5421
886983233522544640,32620,6964
886736880519319552,11197,2924
886680336477933568,20992,4069
886366144734445568,19752,2878
886267009285017600,111,4
886258384151887873,26142,5741
886054160059072513,0,100
885984800019947520,30446,6105
885528943205470208,33589,5814
885518971528720385,19143,3396
885311592912609280,0,16840
885167619883638784,20453,3973
884925521741709313,71938,16441
884876753390489601,25987,5071
884562892145688576,22708,4275
884441805382717440,25317,5182
884247878851493888,67785,18473
884162670584377345,19067,2723
883838122936631299,20419,3123
883482846933004288,42807,8986
883360690899218434,21188,3363
883117836046086144,34679,6041
882992080364220416,22317,3541
882762694511734784,26409,4442
882627270321602560,26153,5527
882268110199369728,41879,10537
882045870035918850,27390,4448
881906580714921986,22757,3089
881666595344535552,47322,9712
881633300179243008,117,7
881536004380872706,46202,14527
881268444196462592,21714,4800
880935762899988482,15979,2538
880872448815771648,19892,3487
880465832366813184,26623,5658
880221127280381952,25201,3796
880095782870896641,25811,3948
879862464715927552,20915,3183
879674319642796034,294,10
879492040517615616,21946,2905
879415818425184262,98896,40441
879376492567855104,15716,2849
879130579576475649,0,6191
879050749262655488,21061,4279
879008229531029506,17786,2437
878776093423087618,18131,3728
878604707211726852,28191,6470
878404777348136964,0,1174
878316110768087041,0,6072
878281511006478336,7238,1174
878057613040115712,39390,6191
877736472329191424,74149,17280
877611172832227328,0,73
877556246731214848,21239,3473
877316821321428993,25656,4751
877201837425926144,25380,5091
876838120628539392,19382,3039
876537666061221889,22154,4281
876484053909872640,17596,2162
876120275196170240,26215,4262
875747767867523072,23581,3902
875144289856114688,20541,4483
875097192612077568,25721,5550
875021211251597312,23912,4318
874680097055178752,26080,4233
874434818259525634,0,13303
874296783580663808,24427,3762
874057562936811520,21310,3644
874012996292530176,32189,9381
873580283840344065,22741,3606
873337748698140672,0,1460
873213775632977920,6720,1460
872967104147763200,25610,4974
872820683541237760,13851,3416
872620804844003328,19479,3347
872486979161796608,38342,8307
872122724285648897,32276,7443
871879754684805121,35392,10106
871762521631449091,19031,3212
871515927908634625,19003,3205
871166179821445120,0,5268
871102520638267392,19694,5094
871032628920680449,21426,3528
870804317367881728,31715,5706
